ID,Name,Email,Product,Price,Date
1,lina,LINA.ALRRASHID@MAIL.COM,"  iPad   Pro   12.9"" ",999,1/1/2023
2,omar,OMAR.EURUL@MAIL.COM,Galaxy  S21  Ultra  ,1199,1/1/2023
3,iman,IMAN.IISMAEIL@MAIL.COM,Panasonic Lumix GH5 ,1299,1/1/2023
4,ahmad,AHMAD.RIHAN@MAIL.COM, Galaxy Tab A8 ,199,1/1/2023
5,sami,Sami.altawil@mail.com, Sennheiser   HD   450BT  ,129,1/1/2023
6,ahed,Ahed.salim@mail.com, Garmin   Fenix   6S   ,499,1/1/2023
7,amira,AMIRA.ALRAHIL@MAIL.COM,Panasonic Lumix S1H,3499,1/1/2023
8,muhamad,MUHAMAD.BITAHISH@MAIL.COM,Anker   Soundcore   Liberty   Air   2   Pro   ,99,1/1/2023
9,fadi,Fadi.aljabaan@mail.com,  Envy   x360  ,899,1/1/2023
10,zahir,Zahir.almunajid@mail.com,Apple  HomePod  mini ,99,1/1/2023
11,eala,Eala.aljabaan@mail.com, Lenovo   Legion   5  ,1099,1/1/2023
12,abd allatif,ABD ALLATIF.ALGHANDUR@MAIL.COM,   Galaxy  Tab  S7,649,1/1/2023
13,muhamad,MUHAMAD.EURMAN@MAIL.COM,  Fossil Gen 5E  ,199,1/1/2023
14,shahad,SHAHAD.EYD BNDQJY@MAIL.COM, Garmin   Fenix   7,699,1/1/2023
15,sahar,Sahar.kharasah@mail.com,   Amazon Fire 7 ,49,1/1/2023
16,muhamad,Muhamad.zawal@mail.com,  Galaxy  Tab  A7,179,1/1/2023
17,muhamad,MUHAMAD.ZAETAR@MAIL.COM, Sennheiser HD 660S ,499,1/1/2023
18,muhamad,muhamad.byd@mail.com,Lenovo Tab M10 FHD Plus   ,229,1/1/2023
19,fadi,FADI.AHMAD@MAIL.COM,Oculus  Rift  S   ,399,1/1/2023
20,khalid,Khalid.dbs@mail.com, Anker Soundcore Life Q35  ,129,1/1/2023
